epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.646,1.18748,2.02877,3.34801,1.32052,0.57101,0.55079,0.53702,0.33385,0.57052,0.55185,0.54043,0.34251,1.32487,2.21456,3.04786,1.70335,0.000414692,0.000414692,0.000414692
2,319.241,1.29207,1.89824,2.35839,1.38152,0.55678,0.4913,0.49043,0.29421,0.54879,0.49797,0.47269,0.28223,1.32764,3.57688,2.64511,1.54198,0.000823128,0.000823128,0.000823128
3,480.42,1.30665,1.97208,2.0441,1.40626,0.56929,0.62979,0.59577,0.35523,0.5762,0.64085,0.60814,0.38415,1.35206,2.01036,1.99817,1.54945,0.00122331,0.00122331,0.00122331
4,648.793,1.32374,1.92936,1.80845,1.41066,0.64505,0.64122,0.67972,0.4156,0.64881,0.64918,0.68743,0.4418,1.33819,1.92793,1.77604,1.49477,0.00121287,0.00121287,0.00121287
5,834.816,1.24719,1.81798,1.56552,1.35946,0.7,0.65627,0.70571,0.45092,0.70293,0.66016,0.70638,0.46996,1.2653,1.94224,1.70678,1.42755,0.0012005,0.0012005,0.0012005
6,1008.61,1.24027,1.81818,1.46962,1.35016,0.73785,0.70318,0.76484,0.48273,0.74326,0.70989,0.77116,0.49363,1.23403,2.01978,1.64393,1.42877,0.00118812,0.00118812,0.00118812
7,1179.87,1.22219,1.77941,1.37755,1.32538,0.72,0.74411,0.79875,0.53765,0.72796,0.74953,0.80158,0.54933,1.17406,1.80674,1.32949,1.37462,0.00117575,0.00117575,0.00117575
8,1334.46,1.17597,1.723,1.29731,1.30261,0.63041,0.72817,0.76713,0.51207,0.63489,0.73066,0.77152,0.52196,1.20772,1.80285,1.41728,1.40553,0.00116337,0.00116337,0.00116337
9,1525.3,1.15863,1.67621,1.26204,1.29584,0.77465,0.77924,0.8171,0.53943,0.77762,0.77338,0.82102,0.55655,1.18065,1.73424,1.1985,1.36451,0.001151,0.001151,0.001151
10,1696.31,1.17367,1.70161,1.26061,1.3045,0.71216,0.73887,0.78311,0.50857,0.70749,0.73265,0.77722,0.52083,1.26096,1.90218,1.31004,1.45977,0.00113863,0.00113863,0.00113863
11,1878.6,1.14413,1.69335,1.20026,1.28756,0.76767,0.79241,0.83334,0.56722,0.77473,0.79738,0.83517,0.57945,1.17549,1.74783,1.13074,1.38736,0.00112625,0.00112625,0.00112625
12,2053.47,1.1395,1.69849,1.15816,1.2807,0.66765,0.70348,0.75277,0.51643,0.66932,0.70502,0.75492,0.51975,1.22245,1.84379,1.71889,1.43325,0.00111388,0.00111388,0.00111388
13,2226.3,1.11571,1.65935,1.12116,1.26673,0.77127,0.76625,0.82597,0.56574,0.77723,0.76966,0.82425,0.57742,1.16286,1.7025,1.23787,1.38393,0.0011015,0.0011015,0.0011015
14,2414.54,1.11125,1.67698,1.09987,1.27184,0.77775,0.81292,0.83522,0.57312,0.78805,0.81908,0.83764,0.58516,1.16353,1.68694,1.04609,1.37766,0.00108913,0.00108913,0.00108913
15,2585.05,1.08551,1.56872,1.04441,1.25308,0.75555,0.77,0.78669,0.51362,0.76803,0.77752,0.79474,0.54257,1.21074,1.66295,1.25046,1.40668,0.00107675,0.00107675,0.00107675
16,2746.56,1.10293,1.62641,1.07658,1.26624,0.7756,0.84899,0.84964,0.60191,0.78273,0.85356,0.85292,0.62029,1.10399,1.62416,1.05866,1.33612,0.00106437,0.00106437,0.00106437
17,2902.64,1.09509,1.572,1.04733,1.25992,0.83118,0.82169,0.85339,0.57642,0.83046,0.82316,0.85631,0.59546,1.15199,1.58892,1.014,1.34757,0.001052,0.001052,0.001052
18,3071.74,1.06145,1.54668,0.99692,1.23436,0.80428,0.77167,0.83152,0.5747,0.81176,0.7797,0.83844,0.58813,1.13031,1.74817,1.12753,1.35305,0.00103962,0.00103962,0.00103962
19,3241.47,1.08034,1.5826,0.96836,1.23769,0.829,0.84962,0.87319,0.6092,0.82832,0.85086,0.87254,0.62298,1.10918,1.65098,0.97045,1.33707,0.00102725,0.00102725,0.00102725
20,3396.41,1.0734,1.54965,0.98154,1.23624,0.81575,0.78542,0.83965,0.57988,0.82591,0.79389,0.84532,0.60774,1.16197,1.61612,1.02442,1.34484,0.00101488,0.00101488,0.00101488
21,3557.87,1.05927,1.54665,0.9536,1.24544,0.77324,0.81544,0.83608,0.57686,0.77968,0.82047,0.84576,0.58754,1.12792,1.65866,1.05082,1.352,0.0010025,0.0010025,0.0010025
22,3702.99,1.02306,1.53519,0.92722,1.22205,0.86664,0.84647,0.88969,0.61781,0.86753,0.84822,0.89111,0.63689,1.08898,1.58639,0.92743,1.32646,0.000990125,0.000990125,0.000990125
23,3885.8,1.04458,1.49365,0.92538,1.2211,0.8546,0.83633,0.8843,0.61292,0.85759,0.83706,0.88114,0.62033,1.11936,1.64263,0.89116,1.34694,0.00097775,0.00097775,0.00097775
24,4033.57,1.03216,1.5356,0.9014,1.2229,0.82507,0.86138,0.89351,0.62463,0.82587,0.8596,0.89092,0.63554,1.0725,1.57565,0.93127,1.32607,0.000965375,0.000965375,0.000965375
25,4164.51,1.02648,1.4884,0.88334,1.20214,0.85812,0.83713,0.87855,0.62201,0.86431,0.84493,0.88173,0.63537,1.09391,1.59236,0.9127,1.3412,0.000953,0.000953,0.000953
26,4294.9,1.02241,1.48254,0.88888,1.20955,0.8853,0.87614,0.9136,0.64926,0.88966,0.87701,0.91306,0.66358,1.06352,1.5769,0.8546,1.30709,0.000940625,0.000940625,0.000940625
27,4436.97,1.00498,1.45782,0.83649,1.18542,0.86921,0.83512,0.87722,0.61297,0.8741,0.84196,0.8811,0.63155,1.102,1.60492,0.89676,1.33012,0.00092825,0.00092825,0.00092825
28,4573.73,1.011,1.46886,0.86689,1.20871,0.88691,0.87419,0.90888,0.64104,0.89498,0.87613,0.90962,0.65194,1.05662,1.57322,0.80589,1.30808,0.000915875,0.000915875,0.000915875
29,4701.98,0.99359,1.49151,0.85362,1.19728,0.88237,0.85174,0.91086,0.6548,0.88653,0.85522,0.91198,0.66606,1.0636,1.51572,0.84166,1.30751,0.0009035,0.0009035,0.0009035
30,4835.87,1.01,1.49227,0.85179,1.21659,0.86318,0.86589,0.90478,0.63947,0.86496,0.86783,0.90488,0.64225,1.05096,1.54547,0.84984,1.29463,0.000891125,0.000891125,0.000891125
31,4981.74,0.98504,1.42215,0.82165,1.18728,0.88502,0.88019,0.91579,0.63875,0.89344,0.88661,0.9186,0.66005,1.10956,1.53076,0.83129,1.32722,0.00087875,0.00087875,0.00087875
32,5113.94,0.98013,1.45869,0.80994,1.17929,0.85843,0.88832,0.91712,0.63567,0.86545,0.88787,0.91297,0.6556,1.10303,1.56065,0.80312,1.32853,0.000866375,0.000866375,0.000866375
33,5247.17,0.97755,1.42117,0.80969,1.19348,0.89355,0.8563,0.90907,0.63154,0.89103,0.85358,0.90795,0.64654,1.08371,1.54131,0.82248,1.31913,0.000854,0.000854,0.000854
34,5383.64,1.00152,1.44151,0.81039,1.18219,0.88431,0.86268,0.91978,0.65501,0.88694,0.86462,0.91702,0.67056,1.09137,1.52991,0.84159,1.31985,0.000841625,0.000841625,0.000841625
35,5517.46,0.97357,1.45363,0.76588,1.18349,0.83601,0.88609,0.90903,0.64056,0.84883,0.87306,0.91054,0.64922,1.07257,1.56761,0.82703,1.30193,0.00082925,0.00082925,0.00082925
36,5647.07,0.97069,1.42109,0.82163,1.17435,0.87042,0.85259,0.90045,0.62473,0.87947,0.85923,0.90288,0.64892,1.10142,1.57783,0.86051,1.30611,0.000816875,0.000816875,0.000816875
37,5801.2,0.96992,1.39365,0.7746,1.18379,0.87843,0.88705,0.92187,0.64294,0.91696,0.87103,0.92422,0.65312,1.07929,1.53239,0.78549,1.31146,0.0008045,0.0008045,0.0008045
38,5955.2,0.96826,1.43626,0.79456,1.18058,0.86518,0.88306,0.91471,0.6442,0.87902,0.87392,0.916,0.6557,1.09244,1.53171,0.80091,1.31774,0.000792125,0.000792125,0.000792125
39,6088.74,0.95539,1.40546,0.75838,1.17134,0.8727,0.86379,0.89764,0.64627,0.8678,0.86771,0.90169,0.6528,1.06489,1.55345,0.80195,1.30804,0.00077975,0.00077975,0.00077975
40,6219.5,0.95096,1.37656,0.74453,1.15758,0.88022,0.86716,0.9134,0.65623,0.89318,0.86831,0.91781,0.66706,1.06287,1.54051,0.78273,1.30154,0.000767375,0.000767375,0.000767375
41,6352.88,0.92552,1.34817,0.73466,1.16139,0.88494,0.87219,0.91569,0.64748,0.8652,0.89715,0.91882,0.66554,1.07893,1.55052,0.75702,1.30707,0.000755,0.000755,0.000755
42,6484.2,0.93929,1.3649,0.72512,1.16158,0.90594,0.88155,0.92899,0.66225,0.90426,0.88056,0.92613,0.66755,1.04574,1.56252,0.75375,1.30884,0.000742625,0.000742625,0.000742625
43,6607.89,0.94192,1.38658,0.7463,1.16119,0.89223,0.88085,0.92347,0.67335,0.89808,0.88751,0.92413,0.68158,1.04214,1.5142,0.73057,1.28479,0.00073025,0.00073025,0.00073025
44,6733.14,0.92528,1.37045,0.73066,1.13885,0.88199,0.89448,0.9175,0.65433,0.889,0.90105,0.91791,0.66734,1.0618,1.54389,0.76254,1.31063,0.000717875,0.000717875,0.000717875
45,6864.2,0.92981,1.36087,0.7501,1.14893,0.90458,0.89349,0.92637,0.65563,0.89745,0.89635,0.92493,0.66358,1.05872,1.53158,0.75076,1.29092,0.0007055,0.0007055,0.0007055
46,6990.2,0.92022,1.35234,0.71927,1.14733,0.89183,0.88603,0.92293,0.65594,0.891,0.88492,0.92183,0.67314,1.06239,1.51443,0.7368,1.29121,0.000693125,0.000693125,0.000693125
47,7116.93,0.9367,1.35181,0.72985,1.15854,0.88367,0.86379,0.9158,0.65609,0.88932,0.86174,0.91579,0.67137,1.05071,1.53912,0.79196,1.28645,0.00068075,0.00068075,0.00068075
48,7242.13,0.90311,1.31106,0.6994,1.13525,0.90834,0.87522,0.92807,0.65313,0.90423,0.87134,0.92387,0.66893,1.06306,1.58426,0.7383,1.29889,0.000668375,0.000668375,0.000668375
49,7371.02,0.91069,1.35814,0.70075,1.15129,0.92774,0.85867,0.93155,0.655,0.92396,0.86988,0.93083,0.66666,1.06227,1.50616,0.74107,1.29886,0.000656,0.000656,0.000656
50,7503.42,0.90599,1.36801,0.71533,1.13765,0.90056,0.89292,0.92773,0.67143,0.90856,0.89526,0.93366,0.67543,1.04358,1.52249,0.71392,1.29018,0.000643625,0.000643625,0.000643625
51,7635.44,0.89425,1.30371,0.65994,1.13083,0.90324,0.8936,0.92629,0.66931,0.90981,0.90776,0.93245,0.68765,1.04892,1.48377,0.6946,1.28426,0.00063125,0.00063125,0.00063125
52,7767.51,0.87925,1.33143,0.65568,1.13252,0.93013,0.88943,0.93186,0.65376,0.93186,0.89028,0.92897,0.67253,1.08397,1.55682,0.72414,1.33122,0.000618875,0.000618875,0.000618875
53,7901.72,0.91281,1.33878,0.67925,1.14455,0.87356,0.91181,0.93388,0.66942,0.88263,0.91437,0.93529,0.67562,1.06526,1.55425,0.69368,1.30247,0.0006065,0.0006065,0.0006065
54,8048.06,0.8789,1.29503,0.672,1.12234,0.90765,0.90656,0.93625,0.6672,0.91122,0.90432,0.93627,0.68564,1.05565,1.5246,0.67407,1.27978,0.000594125,0.000594125,0.000594125
55,8184.87,0.88236,1.31021,0.66514,1.12486,0.93253,0.88754,0.9346,0.66081,0.93074,0.89813,0.93642,0.67642,1.063,1.50654,0.6937,1.30333,0.00058175,0.00058175,0.00058175
56,8307.99,0.87441,1.3207,0.65197,1.12312,0.93261,0.88966,0.93303,0.67004,0.93122,0.89136,0.93615,0.68037,1.05047,1.51818,0.68997,1.28037,0.000569375,0.000569375,0.000569375
57,8431.9,0.88632,1.29029,0.65505,1.1401,0.88871,0.89571,0.92202,0.66664,0.8941,0.89591,0.92474,0.6803,1.03913,1.49609,0.74764,1.29112,0.000557,0.000557,0.000557
58,8581.21,0.88132,1.30917,0.66254,1.12765,0.918,0.90154,0.94945,0.67981,0.91957,0.90308,0.9501,0.69243,1.03759,1.49308,0.67806,1.2799,0.000544625,0.000544625,0.000544625
59,8724.02,0.87268,1.30077,0.6474,1.12008,0.93533,0.89338,0.94661,0.67872,0.93066,0.89885,0.94712,0.68841,1.03531,1.48635,0.6867,1.29283,0.00053225,0.00053225,0.00053225
60,8872.05,0.864,1.29278,0.64192,1.11181,0.89782,0.89275,0.93024,0.67364,0.903,0.90093,0.93347,0.68135,1.02817,1.50004,0.71451,1.2908,0.000519875,0.000519875,0.000519875
61,9018.36,0.8626,1.3178,0.62984,1.10023,0.91448,0.89387,0.94131,0.66431,0.91631,0.8929,0.93933,0.67774,1.04896,1.56874,0.69444,1.3163,0.0005075,0.0005075,0.0005075
62,9184.24,0.85717,1.26879,0.6178,1.11348,0.92543,0.90398,0.93812,0.67042,0.92754,0.90592,0.9388,0.68079,1.02483,1.47293,0.67823,1.27499,0.000495125,0.000495125,0.000495125
63,9343.63,0.8715,1.27066,0.62846,1.11736,0.90275,0.91152,0.94497,0.67946,0.90385,0.91736,0.94478,0.6917,1.0342,1.49086,0.66972,1.28785,0.00048275,0.00048275,0.00048275
64,9516.49,0.85619,1.24682,0.61546,1.11311,0.91275,0.90735,0.93933,0.67647,0.91641,0.90723,0.93946,0.68895,1.03577,1.5116,0.6476,1.28751,0.000470375,0.000470375,0.000470375
65,9681.42,0.85737,1.2822,0.61571,1.11244,0.93006,0.90024,0.94848,0.68168,0.93278,0.89801,0.9479,0.69294,1.03565,1.49398,0.6531,1.28038,0.000458,0.000458,0.000458
66,9833.86,0.83716,1.2659,0.59874,1.10462,0.90757,0.9091,0.94279,0.67821,0.91007,0.914,0.94499,0.68697,1.04411,1.51396,0.65721,1.29678,0.000445625,0.000445625,0.000445625
67,9970.56,0.84679,1.26076,0.59409,1.10196,0.93137,0.90763,0.9495,0.68646,0.93892,0.91475,0.955,0.69532,1.03421,1.49763,0.63558,1.26627,0.00043325,0.00043325,0.00043325
68,10104,0.84395,1.22878,0.59794,1.09593,0.92701,0.91027,0.94777,0.68725,0.92869,0.91181,0.94952,0.69566,1.04177,1.53666,0.63958,1.28129,0.000420875,0.000420875,0.000420875
69,10224.8,0.81933,1.23599,0.58036,1.088,0.92246,0.88222,0.93268,0.67646,0.92901,0.88398,0.93468,0.68703,1.04629,1.51172,0.67359,1.28565,0.0004085,0.0004085,0.0004085
70,10350.3,0.82169,1.2363,0.60361,1.10314,0.93305,0.91194,0.94436,0.68635,0.93881,0.91752,0.94727,0.69829,1.03017,1.50117,0.63567,1.28096,0.000396125,0.000396125,0.000396125
71,10470.5,0.81624,1.24065,0.58017,1.08997,0.91056,0.93916,0.94976,0.6897,0.92306,0.93041,0.95094,0.69638,1.02902,1.4989,0.63823,1.28716,0.00038375,0.00038375,0.00038375
72,10600.9,0.81573,1.21384,0.5794,1.07599,0.94093,0.91999,0.95448,0.69133,0.94263,0.92153,0.95592,0.70158,1.04228,1.544,0.60396,1.29929,0.000371375,0.000371375,0.000371375
73,10725.6,0.80991,1.2331,0.5707,1.06846,0.93048,0.91737,0.94991,0.68926,0.93015,0.91681,0.94967,0.6948,1.02353,1.5442,0.62622,1.28573,0.000359,0.000359,0.000359
74,10856.1,0.82001,1.22311,0.57552,1.09793,0.93105,0.91019,0.94609,0.68526,0.92214,0.91973,0.94555,0.69206,1.03341,1.49363,0.61489,1.28866,0.000346625,0.000346625,0.000346625
75,10986.1,0.82346,1.2352,0.57209,1.09566,0.91727,0.91346,0.93752,0.67975,0.91947,0.91808,0.94046,0.68899,1.02672,1.52376,0.63901,1.29055,0.00033425,0.00033425,0.00033425
76,11116.1,0.80133,1.21855,0.55956,1.08718,0.92373,0.92868,0.94623,0.6873,0.92654,0.93062,0.94463,0.69417,1.02473,1.50902,0.61565,1.26785,0.000321875,0.000321875,0.000321875
77,11245.6,0.78863,1.18572,0.54749,1.06436,0.91479,0.93519,0.94774,0.69061,0.92226,0.93699,0.95168,0.69884,1.03563,1.50053,0.60258,1.28538,0.0003095,0.0003095,0.0003095
78,11376.5,0.78703,1.1841,0.53967,1.06843,0.92436,0.90004,0.94596,0.69321,0.9372,0.91341,0.95075,0.6978,1.00653,1.49335,0.61404,1.27274,0.000297125,0.000297125,0.000297125
79,11499.9,0.7868,1.20443,0.5313,1.0768,0.937,0.92055,0.95031,0.69422,0.94082,0.92398,0.94893,0.69865,1.01769,1.51641,0.59878,1.27161,0.00028475,0.00028475,0.00028475
80,11629.5,0.78181,1.19319,0.54221,1.07293,0.94667,0.92284,0.95747,0.70136,0.94631,0.92228,0.95635,0.70788,1.02162,1.49235,0.58313,1.26176,0.000272375,0.000272375,0.000272375
